,Year,Song,Artist
583,2002.0,Something For The Pain,Robben Ford
584,,Everyone_ Everywhere_ Everytime,Greater Vision
585,1999.0,This Is NOT a Crass Song,Anti-Flag
586,,Soul Searcher,Joe Lynn Turner
587,,Skeletons (Live Acoustic Version),Rickie Lee Jones
588,2005.0,Imagination,Hysterie
589,2001.0,Flashflood,Aesop Rock
590,,What To Do Crying Waiting Hoping Learning The Game,Bobby Vee
591,,El niño de la calle,Alfredo Gutiérrez
592,2005.0,Old Times Sake,Shelby Lynne
593,,Wasted Love,Tora Tora
594,2005.0,Eleanor Put Your Boots On,Franz Ferdinand
595,2004.0,Ass Attack (Four Tet Remix),Hot Chip
596,1981.0,Canta Brasil,Gal Costa
597,2008.0,Sally In the Garden,Kathy Mattea
598,,Steamroller Blues,James Taylor
599,,Heute,Der Moderne Man
600,,A Day In The Life (Album Version),Jeff Beck
601,,Sous la Tour Eiffel,Taboo
602,2003.0,Falling Bombs,BigElf
603,,Sometimes,Tanto Metro & Devonte
604,,Wa'ahila (Instrumental - Bonus Track),Ray Kane
605,,Drive In Saturday - (Tribute to David Bowie),Ashes to Ashes
606,2009.0,My Life Would Suck Without You,Kelly Clarkson
607,1991.0,Bed Crumbs,Fudge Tunnel
608,,J'l'ai pas dit,Edgar Bori
609,,I'm Just Wonderin' Part 2,Jimmy Witherspoon
610,1992.0,No More Blues (Chega de Saudade),Eliane Elias
611,2002.0,Wave,Dave Eggar
612,2001.0,What'd I Say,Donnie Brooks
613,2007.0,Ja (Hanno's Poppersmonstermix),2raumwohnung
614,,Time to come true,SOJA
615,1991.0,Whatever's Cool With Me (LP Version),Dinosaur Jr.
616,,Winter (Four Seasons),Ulytau
617,,Hallelujah,The Nelons
618,2003.0,Creeper Kamikaze,The Exies
619,2007.0,Error,Babylon Disco
620,1995.0,Seuraavassa elämässä,Kaija Koo
621,2000.0,Fausse monnaie,Gus Viseur
622,,Chariots Of Fire,Dino
623,,I Live to Be Hated,GG Allin
624,,Siyabonga (Unreleased Bonus Track),Zimbabwe Legit
625,1992.0,The Majesty Of Rock,Spinal Tap
626,,Blaue Matrosen (live),Der Moderne Man
627,1980.0,Strange Thing,Buzzcocks
628,1975.0,Journey To Love,Stanley Clarke
629,,Alguna Vez,La Portuaria
630,,Rotting Fumes,Hemdale
631,2007.0,Revelations,Jesse Malin and The St. Marks Social
632,2003.0,It's Not Me,3 Doors Down
633,1927.0,Ma Rainey's Black Bottom,Ma Rainey
634,2006.0,I Want It,Zombie Girl
635,,Story Of An Artist (Don't Be Scared),Daniel Johnston
636,,Sajana (Ft Faheem Mazhar),Niraj Chag
637,2000.0,Segredo,João Gilberto
638,2000.0,Murder One,Bone Thugs-N-Harmony
639,,I Destructor (Lenny Dee Mix),Ultraviolence
640,1984.0,No Quieras Marcharte,Los Chichos
641,,D Shuffle Jam (Part 2),Christian McBride
642,,When I Was A Cowboy (Western Plains) (LP Version),Jim Kweskin
643,,On My Feet Again,Utopia
644,,If I...,Foxy Brown
645,,Bedroom Acoustics,Muse
646,,Ju Ju,String Trio Of New York
647,2010.0,Ad Te Clamamus Exsvles Mortva Liberi,Enthroned
648,2001.0,Deep Sea Creature,Mastodon
649,,Werther - Lyric Drama in four Acts/Act I/Alors_ c'est bien ici la maison du bailli?,Ramón Vargas;Vladimir Jurowski
650,2003.0,Theresa,Portable
651,,Danny Boy,Hank Locklin
652,,Pak shte te obicham,Lili Ivanova
653,1981.0,Old Broom,Wailing Souls
654,,Good Looking Girl Blues,Furry Lewis
655,,Råskevärsrock,Bröderna Djup
656,,Cajun Blood,Jo-El Sonnier
657,,Jamboree,Naughty By Nature;Naughty By Nature featuring Zhane
658,,Poikamies (2009),Murskahumppa
659,,Til The Victory's Won,Vanessa Bell Armstrong
660,1997.0,Subterranean Homesick Alien,Radiohead
661,2006.0,Tell Me Why,Dave Hollister
662,,Lullaby,Seamus Egan
663,,Dance_ Gypsy_ Dance,Arthur Tracy
664,,Love Me,Angelo Badalamenti
665,,Good Loving,C.C. Adcock
666,1998.0,Damien,DMX
667,1998.0,The President's Speech,James Horner
668,1993.0,Trong Com,Kitaro
669,2006.0,Doble Bombo,Las Ketchup
670,,Mudhump,C-Side & Petit Mal
671,1987.0,A Legend In My Time,Don Gibson
672,,Serve The Ego (Hani Num Dub),Jewel
673,,Fall In Love [Rub A Dub Mix],John Legend [feat. Buju Banton]
674,,Going Home,Izzy
675,2003.0,Still In Love,Nick Cave & The Bad Seeds
676,2009.0,Closed Eyes,Bury Your Dead
677,,Big Guys Throw Cones,Our Time Down Here
678,,Railroad Boogie,Pee Wee King
679,,Chanson Réaliste,Acorps de Rue
680,,I've Won (Introduction - Speaking),The Nelons
681,2007.0,Le gardien de musée,Les Blaireaux
682,2005.0,Sencillamente,Bersuit Vergarabat
683,2003.0,Poppin' Them Thangs,G-Unit
684,2005.0,Bury Your Head,Saosin
685,,American Journey/IV. Arts and Sports,John Williams
686,,Shuncata Penda,Pardesi
687,,Melodica,Baby Grand
688,,Sailing,DJ Ostkurve
689,,Hi Ho Silver,Roy Rogers
690,,Slamka Spasa,Reni
691,,Kanaka 'o Mose,Leonard Kwan
692,1995.0,Between Eunice & Opelousas,Steve Riley & The Mamou Playboys
693,1992.0,Monarchy Now,Falco
694,,When Those Two Towers Fell,New Roanoke Jug Band
695,2006.0,Shadow,Warren Barfield
696,2004.0,Big Business,Dilated Peoples
697,,La Sitiera,Orquesta Broadway
698,2009.0,I'm Not Done,Fever Ray
699,,Close Up,Charles Williams
700,,Sittin' On Top of the Wolrd,Bob Wills
701,,It Must Be,David Martin
702,1973.0,Bo Diddley,The Animals_ Sonny Boy Williamson
703,,The Truth,MN
704,,Teenage Baby (Digitally Remastered),T-Bone Walker
705,2009.0,Ignis,Floor
706,,So Many Books ... (The Word Album Version),Michael Card
707,2006.0,What Would You Do,Walter Jackson
708,,Drummer's Circle,Megadrums
709,,Kong,Justin
710,2006.0,Post-Toxic Finger Disorder,Tim Exile
711,,Lotus Kiss,Alex Theory
712,2004.0,Intro,Bizzy Bone Presents
713,,Qui Donc A Changé ?,Marcel Mouloudji
714,,When You're Hot_ You're Hot,Jerry Reed
715,2006.0,Church Hangover,George Lopez
716,2006.0,The Ride (Album),Cinder
717,1998.0,No Survivors,Speedball
718,2006.0,I Got Stripes (Live),Johnny Cash
719,,The Contracting Perception Of Consciousness,Rui Da Silva
720,1999.0,Her Golden Robe In Silence Veiled,Autumnblaze
721,,Two Little Fishes_ Five Loaves Of Bread,Sister Rosetta Tharpe
722,,The Greed Of Our Stare,Hatesex
723,1974.0,Same Old Song,Kris Kristofferson
724,2005.0,Rockin' Every Night (Live),Gary Moore
725,2002.0,Walk Away,Christina Aguilera
726,2003.0,Mais La Vie,Maurane / Lara Fabian
727,2004.0,Doggin' Around,Rita Chiarelli
728,,Dem a Talk,Kiprich
729,,Roger Milla (Stadium Mix),Pepe Kalle
730,,La sangre de tu tristeza (con Dani Martin_ directo Enjoy 07),Jaime Urrutia
731,,Everything's Gone,David Tao
732,2006.0,Forever Consumed Oblivion,Goatwhore
733,,McDermott's / Boys of Blue Hill,Séamus Egan
734,,Irresistible! (Maurel & Fauvrelle LESS Mix),Superchumbo
735,,Red Balloon,We Show Up On Radar
736,1989.0,El Arte De Amar,Gabinete Caligari
737,1989.0,Pinini Reggae,SUMO
738,,I Won't Let You Go Till You Bless My Soul (Album Version),The Clark Sisters
739,,Rio Grande Waltz,Hank Locklin
740,2003.0,Honey I Sugar Pie,Tanto Metro & Devonte
741,1994.0,Phylyps Trak II/II,Basic Channel
742,1968.0,Stand By Your Man,Tammy Wynette
743,,Young Blood (2007 Digital Remaster),Whitesnake
744,,Get Up & Go,Chet Atkins
745,,The Trolley Song (Live Album Version),Eddie Cano
746,2002.0,Acension Final Chord Rising,Terry Riley
747,,Slimy Little Troll,Mack and Jamie
748,2008.0,Upon The Shores [Explicit],Trivium
749,,De Kommissar 1,Der Plan
750,2007.0,Why Do All Girls Think They're Fat (Album),Reel Big Fish
751,1999.0,Hero In A Dream,Ensiferum
752,,Ji Xiang Yan Chu,Dylan Kuo
753,2001.0,Ice Cream Man,Martin Sexton
754,,Crawling Up A Hill - version 2 - mono_ live,John Mayall & The Bluesbreakers
755,,A Brazilian in New York,Luiz Bonfa
756,2006.0,Mumbo Jumbo (jazz),Chris Standring
757,,Walk With Me,Angélla Christie
758,2003.0,Epilog,Neviss
759,1999.0,Get On Top (Album Version),Red Hot Chili Peppers
760,,De Bombacha Y Alpargatas,Chango Spasiuk
761,1930.0,Moon Going Down,Charley Patton
762,2006.0,Raising Children,The Race
763,,No seamos tontos,Yahir
764,,My First Day At School,Brian Dullaghan
765,,Do You Ever Think Of Me,Gordon MacRae
766,,Everything You Touch Is a Song,The Winans
767,,De Tree Little Pigs,Mario Rosenstock
768,1985.0,First Blood,Jerry Goldsmith
769,,Mary Jane's Last Dance,Tom Petty And The Heartbreakers
770,1997.0,Daughter Of Zion,Winston Reedy
771,,Ni Gota De Rencor,Pablo Montero
772,,Maria,Papa Wemba
773,2005.0,Come To Find Out,John Hammond
774,,Sublime Ensoñacion,Barbarito Diez
775,1999.0,French Touch,Richard Galliano
776,2007.0,56 Days,Pride Tiger
777,1989.0,Victim Of Circumstance,Ten Years After
778,,Airheads,Sweet
779,1997.0,Bubblegum,Helen Love
780,,Hungarian Dances_ WoO 1: No. 12 in D Minor: Presto,Bamberg Symphony Orchestra and Hans Swarowsky
781,,Colonel Brown (1999 Digital Remaster),Tomorrow
782,,Heart Half Empty,Ty Herndon;Stephanie Bentley
783,,You're Welcome To Tonight (Duet w/ Lynn Anderson) (Album Version),Gary Morris
784,2007.0,The Flame,Chimaira
785,1961.0,My Greatest Desire,Faye Adams
786,,Sta giu' (feat. Dj Rockdrive),Cali
787,,Eu vi a maquina voadora,Silvério Pessoa
788,,Murderous Style,X-Static
789,2005.0,I Will Always Love You,Deborah Allen
790,,The Truth Forever,The Master Musicians of Jajouka featuring Bachir Attar
791,,The Tide Is High - Original,John Holt
792,,Music Reach (1/2/3/4) (Remastered),The Prodigy
793,2006.0,He Put The Hurt On Me,Tina Britt
794,,Be Good To Me,Sonny Terry & Brownie McGhee
795,2000.0,Answer In The Question,MxPx
796,2005.0,Slip Out The Back (Album Version),Fort Minor (Featuring Mr. Hahn)
797,,Lonesome Road (1995 Digital Remaster),Dean Elliott And His Big Band
798,2001.0,Ye That Tempteth_ Ye That Bequeth,Enslavement Of Beauty
799,,Liquid Frequencies (liquid Soul Mix),liquid soul & freq
800,1992.0,Banana Man,C.J. Chenier
801,,El Cara Bonita,Mercedes Castro
802,2003.0,Chocolate,Snow Patrol
803,,Anillo de compromiso,Antonio Bribiesca
804,,New York (Dave Goodman Demo Version) (Explicit),Sex Pistols
805,,For Your Eyes Only,Pinchers
806,2005.0,Welcome 2 Detroit,Trick Trick / Eminem
807,1995.0,HISTORY,Michael Jackson
808,,Motindo Na Yo Te,Franco
809,2002.0,A Costa De Galicia,Carlos Nuñez
810,2005.0,Enero en la playa (Edit),Facto Delafe y las flores azules
811,2008.0,Travel Song (Reprise),Dora The Explorer
812,1997.0,Midnight In Memphis,J.J. Cale
813,,Feelin You,DJ Spinn
814,,This Time I Know,Theodis Ealey
815,,God Will Make A Way,Janet Paschal
816,2002.0,Don't Leave,Everyday Sunday
817,2009.0,O Hiroteros Ehthros Mou,Peggy Zina
818,2002.0,Spark,Souls Of Mischief
819,,He Jiu Bi Hun,Hacken Lee
820,1983.0,Destroy Babylon,Bad Brains
821,,Follow Your Dreams (The Plan Album Version),Raze
822,2008.0,Yippiyo-Ay,The Presets
823,,Your God Isn't Listening,Steve Wilson
824,1999.0,Talk About Us,Jennifer Lopez
825,1998.0,Sosa (Explicit),A.Z.
826,1998.0,Señora (bonus track),Francisco Céspedes
827,,"Der Wind Hat Mir Ein Lied Erzählt (from ""La Habanera"")",Quadro Nuevo
828,,Gangster Of Love,Chris Farlowe
829,2006.0,FRIENDS IN FALL RIVER  (LP Version),Silverstein
830,,Road Warrior's Lament,Kris Kristofferson
831,1992.0,Brother,Alice In Chains
832,,Ascolta mio dio,The Charms
833,2004.0,Exaltation,Matisyahu
834,1982.0,Punchdrunk,Béla Fleck
835,,Morena Boca De Ouro,Jongo Trio
836,1990.0,I Love You More Than You'll Ever Know (LP Version),Donny Hathaway
837,,Rápido Nos Vamos,Javier Mendoza Band
838,2003.0,El Mes Alt,Sapo
839,1977.0,Two Tickets To Paradise,Eddie Money
840,,Nun singet und seid froh,Thomas Battenstein
841,1995.0,Shake Some Action,Cracker
842,1983.0,Smooth Operator,Sade
843,2007.0,Red Orange Yellow,Photo Atlas
844,,Biloxi,Kenny Price
845,2002.0,Sarah Yellin',3 Doors Down
846,2003.0,Bullet Frenzy,Elliot Goldenthal
847,,Baby You Got What It Takes - Original,Delroy Wilson
848,,Zalozniy,Arkona
849,2004.0,Before The Æons Came,Behemoth
850,,Fernando,Andre Popp
851,2000.0,Machine Gun Majesty [Live] (Album Version),Soilwork
852,,Sentimentos Desiguais,Cândido
853,,Rastafari Prophecy,Horace Andy
854,1994.0,Alimony,Shaggy
855,,Adeste fideles,Ramón Vargas_ Sängerknaben Luzerner Kantorei_ Henk Geuke_ Concilium Musicum Wien & Paul Angerer
856,2003.0,Killing,The Rapture
857,,This This (LP Version),Nicole C. Mullen
858,1994.0,On The Brink,Dinosaur Jr
859,,Consuelate Como Yo,Los Van Van
860,2004.0,Half The Fun,Snow Patrol
861,2009.0,Damit Du Dich in mich verliebst,Lara
862,2006.0,Drive By Music,Outerspace
863,,Que Cosas_ Que Cosas,Gloria Lasso
864,2001.0,Ruby D.,Les Sexareenos
865,,Bounce Back,DJ Spinn
866,1996.0,Empty Arms,Stevie Ray Vaughan And Double Trouble
867,1967.0,Hey Joe,The Creation
868,2007.0,Fall Away Into Darkness,The Balustrade Ensemble
869,1967.0,Neon Rainbow,The Box Tops
870,2001.0,Blues,Terry Callier
871,,Brokÿn Nëedle,Ultimate Fakebook
872,2000.0,Risen From Within,Astarte
873,1996.0,Humppa,Elakelaiset
874,,winning friends,Prisma
875,,It Has Been A Long Time_ Hasn't It,Anubis Spire
876,,Glo-Billy-Vee-Vee,Beaver Harris
877,2003.0,You Are God (Broken Album Version),Darwin Hobbs
878,,XI GUAN LIANG GE REN,Jerry Yan
879,1969.0,Crimson And Clover,Tommy James & The Shondells
880,2005.0,Outro Duction,Marcus Miller
881,,Barrage,Charles Williams
882,,Adios...Borron Y Cuenta Nueva,Los Iracundos
883,2003.0,San Xuan,Hevia
884,1967.0,A Hard Road,John And The Bluesbreakers Mayall
885,,Oh Oh Oh Baby,Checkers
886,,Isn't That Just Like God (Low Key Performance Track Without Background Vocals),Babbie Mason
887,,Laughed At The Judge,The Grease Band
888,,Mele Wich Ayee (Shaan Remix),Bally Sagoo
889,,Christina Christina Blues,Champion Jack Dupree
890,1971.0,Faithful and True (Collectors Version),Z.Z. Hill
891,2003.0,Le Zoo De Vincennes,Benabar
892,1989.0,Pass Through My Will,John Michael Talbot
893,2000.0,Don't Go Knockin' On My Door,Britney Spears
894,2007.0,Sacrifice for the Slaughtergod,Skeletonwitch
895,,La boîte à hein biloute,Blingtones
896,,Si No Te Hubieras Ido,Charlie Cruz
897,,Cold Blood (LP Version),Kix
898,,Wanikaa (Featuring Abramz_ Krazy_ Lyrical G_ Saint Ca and Sylvester),Indigenous
899,,I Worship You,True Believers
900,1984.0,Lunes Por La Madrugada,Los Abuelos De La Nada
901,,Jimi Baby,Slightly Stoopid
902,2005.0,Full Of Voices,Maximilian Hecker
903,,More Where That Came From - Original,Leroy Hutson
904,1980.0,Fool For Your Loving,Whitesnake
905,1993.0,If I Run,Semisonic
906,,Maybe I'm Crazy (Single original version_ 2008 Digital Remaster),Laid Back
907,,Heart Of The City (Soul and R&B),Willie Clayton
908,2002.0,Guardian Angel,Novaspace
909,,Melodioso,Tom Barabas
910,2004.0,Hel Vete,Finntroll
911,2003.0,Escuchame,Carlos Ponce
912,2003.0,Sending A Message,Colin James
913,1992.0,Auf Der Mundharmonika,Marlene Dietrich
914,,Girls Girls,Pinchers & Ganglords
915,,6 6 6,Ziggy Marley And The Melody Makers
916,,Something's Missing,John Mayer
917,,Dornröschen war ein schönes Kind - Karaoke,Frederik
918,,Wiggle (Soul and R&B),Willie Clayton
919,,Maloba pamba,Emeneya
920,,Weight Of The World (Album Version),Dropline
921,1972.0,Judge Boushay Blues,Furry Lewis
922,2010.0,Sabotage,Cancer Bats
923,,My Heart Went That-A-Way,Roy Rogers
924,2006.0,The Epi-Pen,Alexandre Desplat
925,,Baat Ban Jaye,Biddu
926,,People of cloud nine,Uman
927,2000.0,Away In A Manger,Lara & Reyes
928,2007.0,Mas P**' (America'S Mexican),George Lopez
929,,Shang Zhui Ren,Miriam Yeung
930,2009.0,Loba,Shakira
931,,Pacific Coast Remix,DJ Quik
932,,Complainin',Sophie Tucker
933,2004.0,Nordcore,Pyranja
934,2009.0,Big Train,Conway Twitty
935,,The Prayer - Feat. T.O. & Timberly K. Simmons,Agency 1.9.9.4
936,1999.0,Rock the Spot,Blackalicious
937,2002.0,You Say Keep It Gangsta,Wyclef Jean featuring Butch Cassidy and Sharissa
938,2005.0,Pop A Cap In Yo' Ass,Ben Watt feat. Estelle
939,2002.0,Swing Swang,Naughty By Nature
940,,C'est Dimanche,Aurélien Merle
941,1997.0,Use Me,Far Too Jones
942,,Gib deinem Herzen ein Zeichen (Radio Mix),Jenney
943,,So. Central Rain (2006 Digital Remaster),R.E.M.
944,,El Corcovado (The Wood-Quail),Los Gaiteros de San Jacinto
945,,The Portrait (Live) (Reissue) (Album Version),King Diamond
946,2002.0,Destination Eschaton (Hardfloor Vocal Mix),Shamen
947,,In De Dance Again,Mighty Diamonds
948,,Aquel Mundo De Amor,Pablo Montero
949,2005.0,Living Underground,Atomic Rooster
950,,Chinoiserie,Lincoln Center Jazz Orchestra
951,,Perfect Tree,Ray Boltz & Steve Millikan
952,1981.0,Careful In Career,Simple Minds
953,1954.0,I'm in Korea,J. B. Lenoir
954,,Oedipus Rex_ Atto Secondo: Divum Jocastae Caput Mortuum (Messaggero_ Coro) (Stravinsky),Herbert  von Karajan
955,2007.0,Don't Stop The Music,Rihanna
956,,De pie,Fuzz
957,2008.0,Disease,Dokken
958,,Roll Back The Rug,Ionics
959,,Money Money Money,Top Of The Poppers
960,,Free (Album Version),The Winans
961,,Jealousy,Paulette Tajah
962,1996.0,Ready To Go,Republica;Jonny Male;Dave Arch
963,1986.0,Mama Kin,Guns N' Roses
964,2002.0,Bust At You [featuring Baby_ Scarface & Tony Sunshine] (edited album version),Fat Joe
965,2003.0,Searching For Home,Skrape
966,,Reg mich nicht auf_ Johanna,Curt Bois
967,2007.0,The Reason I Go On,Céline Dion
968,,Where Were You Last Night,Pee Wee King
969,,É Sempre Assim,Flávio José
970,1995.0,Cicada,Silverchair
971,2008.0,The End Of The Line,Metallica
972,,LA River (Acoustic),Rancid
973,,Inner City Blues (Alternate Mix) (Bonus Track),Brian Auger's Oblivion Express
974,2007.0,Empire Falls,Primordial
975,1991.0,Right to Work (Live),Chelsea
976,1997.0,Princess Black,Sizzla
977,1996.0,Bolero Militar,Bersuit Vergarabat
978,1999.0,Rice Dream Girl,Casiotone For The Painfully Alone
979,,No more going home,Rainer Bielfeldt
980,,Time After Time,Ann Hampton Callaway
981,2007.0,Misty Mountains,Mando Diao
982,,All I Ever Really Wanted,Donnie McClurkin
983,2009.0,Brand New Broken Heart,NewFound Road
984,1993.0,Te quiero tanto,Vilma Palma e Vampiros
985,,Yesterdays,Ray Conniff
986,,Mi Sangre Latino,Nelson Ned
987,,Vincent,Madilu System
988,2009.0,the fallen...,Set Your Goals
989,2009.0,The Lifestyle That Got Away,The High Strung
990,1997.0,Get Your Hustle On,Lost Boyz
991,1998.0,Future Prospects,Nic Endo
992,1997.0,Skinhead on the MBTA (Album Version),Dropkick Murphys
993,2003.0,Love Attack,Kim Wilson
994,2006.0,Above Lucium (LP Version),Daath
995,1987.0,Human Guinea Pig,Suicidal Tendencies
996,,Wink Of An Eye,Bobby Vee
997,,Awesome God,Bill & Gloria Gaither
998,1998.0,Naked,Jennifer Brown
999,2002.0,Le temps des cerises,Jean Lumière
1000,,Loud And Clear,Elephant Man
1001,,J'veux Du Cuir (Live),Alain Souchon
1002,2008.0,Freeze,Pepper
1003,,Alli Mia Fora,Peggy Zina
1004,,Lydia [Piano Version],FIR
1005,1996.0,Dress Me Up,Eric Champion
1006,,Wo bleibt die Mark?,Zeltinger Band
1007,2002.0,Love Thing,Bebe Winans
1008,2001.0,Bean Fields (Live) (2001 Digital Remaster),Penguin Café Orchestra
1009,2007.0,Sambangole / Tres Golpes Na' Mas,Colombiafrica - The Mystic Orchestra
1010,1991.0,Naked In The Rain (Album Version),Red Hot Chili Peppers
1011,,Who Are You?,The Kitchen
1012,,There Are Things I Think You Should Know,Statues
1013,2003.0,The One I Got,Jonny Lang
1014,2004.0,Shake,Cam'Ron / JR Writer
1015,2007.0,Triesteitaliana,Novembre
1016,,Thug Queen,X-Raided
1017,,Give Your Love To Me,Cornell Campbell
1018,1999.0,Tides Of Time,Donna The Buffalo
1019,2008.0,So What!,Tesla
1020,1993.0,Kleina Wixa,ÄI-TIEM
1021,2006.0,Down On The Farm (2006 Remastered Edit Version),Little Feat
1022,1982.0,Two Track Dub (Dub / Instrumental Reggae Music),Mikey Dread
1023,1989.0,Distancia,Alberto Cortez
1024,,Papel Quemado,Conjunto Mar Azul
1025,2004.0,Romantic Rights,Death From Above 1979
1026,2007.0,If Ever,Foo Fighters
1027,1992.0,Left To Starve,Eyehategod
1028,,Lekeitio,Mal De Ojo
1029,,The Wedding Samba,Edmundo Ros
1030,2007.0,Stairs To the Attic,The Antlers
1031,,Prelude And Fugue In C Major BWV 545 : Prelude,Lionel Rogg
1032,,The Love We Had Version,Jimmy Riley
1033,2000.0,Vortex,Elliot Goldenthal
1034,,Uncle Interlude,John Brown
1035,,Mon coeur s'ouvre à ta voix,Marilyn Horne / Wiener Opernorchester / Henry Lewis
1036,,The Dynamo Of Volition [From An All Night Session],Jason Mraz
1037,,Gold Und Silber,Pyrolator
1038,,Triumph / Timour The Tartar / The Left Handed Fiddler / Speed The Plough / De'il Among The Tailors,James Scott Skinner
1039,1995.0,Guidum,Abraham Laboriel
1040,2005.0,Cavasamba Um (Edit),Grupo Batuque
1041,,All Kind of People,Sugar Minott
1042,,Hole In The Pumpkin,Ini Kamoze
1043,1993.0,Between Me & You Kid (Album Version),Mudhoney
1044,,The One I've Been Waiting For (Diamond Days Album Version),Out Of The Grey
1045,,Untitled,Dino
1046,2001.0,Una na na,OV7
1047,,Can't Break This Man,Borialis
1048,2004.0,The Ambush,Open Hand
1049,2001.0,Play That Beat,X-ecutioners
1050,,Bertie's Pets (Bonus Material),Mario Rosenstock
1051,1994.0,Marilyn,Juice Leskinen
1052,,Bladecrash Electrocution,Pumpkin Buzzard
1053,2006.0,Come Here Feat. Jay Sean,Rishi Rich
1054,2003.0,Through The Wire,Kanye West
